file_extension,size_before_kb,size_after_kb,time_gap_seconds,files_modified_in_window,filename_entropy,process_type,label,size_change_ratio,is_executable,high_entropy_flag,mass_change_flag
.exe,951,4146,2089,68,4.58,unknown_process,benign,4.359621446519851,1,1,1
.txt,2337,3684,1794,48,6.25,unknown_process,benign,1.5763799736515276,0,1,1
.docx,2244,3274,959,180,2.68,unknown_process,benign,1.4590017818810153,0,0,1
.pdf,2646,146,105,111,5.44,user_edit,benign,0.055177626585344815,0,1,1
.log,1858,3041,202,153,3.53,user_edit,benign,1.6367061347488125,0,0,1
.zip,4613,1463,2498,123,6.69,backup,benign,0.317147192647486,0,1,1
.docx,1866,4677,1843,149,7.11,backup,benign,2.506430866823992,0,1,1
.jpg,2913,1585,1867,101,7.48,unknown_process,malicious,0.5441125985087152,0,1,1
.txt,2854,483,1997,102,6.38,backup,benign,0.16923615971645545,0,1,1
.log,4911,3180,1290,65,6.15,unknown_process,malicious,0.6475259619939877,0,1,1
.txt,3229,1250,910,191,3.19,user_edit,benign,0.3871167542932435,0,0,1
.jpg,3720,4769,210,51,3.85,user_edit,benign,1.2819892469672072,0,0,1
.txt,3229,631,563,36,4.56,user_edit,benign,0.19541653756722932,0,1,1
.pdf,2372,662,3190,81,6.25,system_update,benign,0.27908937593630295,0,1,1
.log,2892,3504,2761,127,7.03,unknown_process,malicious,1.2116182568424556,0,1,1
.log,3757,2853,3449,88,3.04,user_edit,benign,0.75938248582396,0,0,1
.jpg,4226,2467,1564,194,7.07,unknown_process,malicious,0.5837671555646552,0,1,1
.zip,95,988,771,104,5.83,backup,benign,10.399999890526317,0,1,1
.pdf,2675,1547,3156,15,5.36,backup,benign,0.5783177567931522,0,1,1
.docx,1956,650,2502,96,3.1,user_edit,benign,0.3323108382759147,0,0,1
.txt,794,969,2715,167,2.31,unknown_process,benign,1.2204030211329937,0,0,1
.exe,1835,2638,629,123,5.13,user_edit,benign,1.4376021790530777,1,1,1
.txt,2117,1101,3586,198,5.58,backup,benign,0.5200755784033654,0,1,1
.txt,4107,441,1629,1,3.16,user_edit,benign,0.10737764789204342,0,0,0
.docx,3326,770,1702,151,5.06,unknown_process,benign,0.23150932043550532,0,1,1
.txt,2920,1344,387,122,6.71,backup,benign,0.46027397244511165,0,1,1
.pdf,2598,4359,1936,167,6.59,system_update,benign,1.6778290986613438,0,1,1
.pdf,3206,3730,3422,126,7.1,backup,benign,1.1634435429933114,0,1,1
.log,4808,3907,2344,57,4.01,system_update,benign,0.8126039931754151,0,1,1
.jpg,815,1578,2306,81,3.75,user_edit,benign,1.9361963166427039,0,0,1
.zip,346,4009,1105,162,6.12,user_edit,benign,11.586705168824551,0,1,1
.exe,2350,3352,268,169,4.37,unknown_process,benign,1.4263829781164328,1,1,1
.txt,363,4796,2467,73,2.48,system_update,benign,13.212121175724183,0,0,1
.txt,2444,2350,2283,141,3.56,user_edit,benign,0.9615384611450334,0,0,1
.docx,2266,3603,1857,70,4.3,system_update,benign,1.5900264776743043,0,1,1
.jpg,2189,1242,3383,6,3.61,user_edit,benign,0.5673823661181442,0,0,0
.pdf,3006,1126,1999,84,3.83,backup,benign,0.37458416487871454,0,0,1
.exe,3282,2602,3034,52,3.62,user_edit,benign,0.792809262403166,1,0,1
.log,985,1191,1381,3,2.23,unknown_process,benign,1.209137054610013,0,0,0
.pdf,1640,4132,1237,81,5.5,backup,benign,2.5195121935856633,0,1,1
.jpg,828,4840,574,63,5.29,unknown_process,benign,5.845410620959649,0,1,1
.zip,2731,4449,49,49,5.59,backup,benign,1.6290735988176224,0,1,1
.log,3532,73,1151,76,3.06,system_update,benign,0.020668176664589984,0,0,1
.zip,4452,1915,223,112,3.63,unknown_process,benign,0.4301437555188356,0,0,1
.docx,2936,2473,2969,175,5.41,user_edit,benign,0.8423024520291885,0,1,1
.docx,3877,3047,3351,109,5.3,system_update,benign,0.7859169458896268,0,1,1
.txt,127,708,1432,183,4.78,user_edit,benign,5.574803105710212,0,1,1
.zip,3178,1805,1529,192,3.93,backup,benign,0.5679672748370147,0,0,1
.jpg,3057,3714,3366,65,7.02,backup,benign,1.2149165844897232,0,1,1
.exe,604,2565,1820,81,3.87,user_edit,benign,4.246688734690912,1,0,1
.log,3450,2476,2325,195,4.51,user_edit,benign,0.7176811592122664,0,1,1
.pdf,4147,3611,1462,15,5.73,system_update,benign,0.8707499395054858,0,1,1
.jpg,3534,4256,1131,100,4.99,user_edit,benign,1.2043010749280416,0,1,1
.jpg,3368,2824,1682,32,3.91,unknown_process,benign,0.8384798097272923,0,0,1
.docx,3369,1736,2468,96,4.4,unknown_process,benign,0.5152864349910102,0,1,1
.zip,3798,1586,2659,128,6.37,user_edit,benign,0.41758820420811266,0,1,1
.txt,1793,67,3501,196,3.53,unknown_process,benign,0.0373675404141843,0,0,1
.txt,2862,3062,375,146,2.78,user_edit,benign,1.0698812015828507,0,0,1
.log,3477,2429,2121,113,3.72,system_update,benign,0.6985907389420216,0,0,1
.docx,3418,4154,2022,83,6.67,unknown_process,malicious,1.2153306023360648,0,1,1
.jpg,1646,342,1054,43,2.49,unknown_process,benign,0.20777642757729256,0,0,1
.exe,1206,2775,3260,116,7.45,user_edit,benign,2.3009950229676654,1,1,1
.docx,3031,2818,3436,163,4.98,unknown_process,benign,0.929726162675775,0,1,1
.log,2873,2662,1890,78,7.42,backup,benign,0.9265576049681318,0,1,1
.log,3073,1233,1824,58,7.16,system_update,benign,0.40123657650464156,0,1,1
.docx,1855,3875,1475,33,4.49,system_update,benign,2.0889487859358766,0,1,1
.log,4022,2402,2243,14,3.09,unknown_process,benign,0.5972153156148147,0,0,1
.docx,4663,1495,1180,162,2.91,unknown_process,benign,0.3206090498990759,0,0,1
.pdf,2709,4212,3244,189,3.32,backup,benign,1.5548172751735632,0,0,1
.docx,3503,662,2895,132,5.91,backup,benign,0.18898087348302003,0,1,1
.zip,1333,3884,1065,59,3.5,unknown_process,benign,2.913728429922184,0,0,1
.docx,202,3620,3135,157,3.88,unknown_process,benign,17.92079199049113,0,0,1
.log,3508,1869,2071,83,4.47,backup,benign,0.5327822119347827,0,1,1
.zip,4213,2335,360,134,7.02,user_edit,benign,0.5542368856980211,0,1,1
.log,575,3375,3147,121,3.04,backup,benign,5.869565207183365,0,0,1
.txt,537,1017,2608,177,2.03,user_edit,benign,1.8938547450766205,0,0,1
.txt,1626,4407,2720,168,2.33,system_update,benign,2.710332101654162,0,0,1
.zip,2123,208,2042,83,6.98,system_update,benign,0.09797456424965871,0,1,1
.pdf,386,2666,1142,193,5.56,backup,benign,6.906735733402239,0,1,1
.txt,3282,2494,1636,197,3.5,user_edit,benign,0.7599024982450023,0,0,1
.docx,475,633,1404,27,2.97,backup,benign,1.3326315761418284,0,0,1
.log,418,2103,1944,80,3.62,backup,benign,5.031100466432774,0,0,1
.txt,3601,2960,679,134,2.63,user_edit,benign,0.8219938903576801,0,0,1
.txt,955,3084,3362,13,7.18,backup,benign,3.2293193683462627,0,1,1
.pdf,4972,4753,2488,64,6.31,system_update,benign,0.9559533385044341,0,1,1
.zip,4859,1932,2981,190,4.54,unknown_process,benign,0.39761267742382944,0,1,1
.zip,1206,3720,7,147,6.76,unknown_process,malicious,3.084577111870168,0,1,1
.jpg,4760,2563,3268,80,3.37,backup,benign,0.5384453780381417,0,0,1
.pdf,4121,1680,2469,123,5.94,user_edit,benign,0.4076680416385178,0,1,1
.docx,1991,237,1592,43,6.71,user_edit,benign,0.11903566041233768,0,1,1
.zip,4806,4444,833,89,3.96,system_update,benign,0.9246774862828385,0,0,1
.log,3573,4726,3265,148,6.17,user_edit,benign,1.3226980125041428,0,1,1
.pdf,4381,1541,2607,95,3.62,user_edit,benign,0.35174617659170365,0,0,1
.txt,4159,3944,3220,196,3.64,system_update,benign,0.9483048807529922,0,0,1
.log,4758,364,1811,172,2.59,backup,benign,0.0765027322243584,0,0,1
.log,2714,2369,3274,151,4.42,unknown_process,benign,0.8728813556105817,0,1,1
.txt,2204,286,3516,2,6.01,system_update,benign,0.12976406527687656,0,1,0
.pdf,3121,149,914,120,7.17,backup,benign,0.04774110860373563,0,1,1
.txt,967,4038,2012,22,5.32,system_update,benign,4.175801443458323,0,1,1
.jpg,4945,4552,1443,115,6.75,backup,benign,0.9205257834336651,0,1,1
.log,3433,1767,1451,57,6.52,system_update,benign,0.5147101658856074,0,1,1
.exe,689,4896,3055,72,2.95,backup,benign,7.105950642807039,1,0,1
.exe,4244,1013,1503,7,4.67,system_update,benign,0.23868991511812204,1,1,0
.docx,3702,2832,3547,184,2.64,backup,benign,0.7649918960656424,0,0,1
.zip,342,2508,126,119,5.75,system_update,benign,7.333333311890838,0,1,1
.txt,1725,1524,2443,195,7.22,unknown_process,malicious,0.8834782603574038,0,1,1
.txt,4423,2786,817,114,2.75,unknown_process,benign,0.6298892153222045,0,0,1
